epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.3291,1.83813,3.41663,1.87188,0.15366,0.21875,0.10037,0.0322,2.17963,3.77416,2.37215,0.000662447,0.000662447,0.000662447
2,115.511,1.94171,2.66563,1.97063,0.22546,0.22222,0.18884,0.07276,2.21431,6.75026,2.61366,0.0013028,0.0013028,0.0013028
3,168.279,1.948,2.34598,1.98976,0.15087,0.17708,0.10003,0.02424,2.37389,11.3524,2.73077,0.00191675,0.00191675,0.00191675
4,220.407,1.94743,2.1667,1.9726,0.44075,0.43237,0.37777,0.13567,2.17501,2.11454,2.39744,0.0018812,0.0018812,0.0018812
5,269.336,1.91698,2.02341,1.9487,0.37137,0.24653,0.1901,0.05947,2.16078,2.80473,2.45202,0.0018416,0.0018416,0.0018416
6,319.665,1.87042,1.98683,1.92205,0.38702,0.27778,0.31868,0.1145,2.0484,4.59262,2.34552,0.001802,0.001802,0.001802
7,368.95,1.86932,1.85239,1.89158,0.51924,0.51002,0.52414,0.20387,1.9693,1.85726,2.16403,0.0017624,0.0017624,0.0017624
8,417.583,1.86113,1.82336,1.89846,0.40293,0.38897,0.39318,0.15538,2.06752,3.23394,2.30927,0.0017228,0.0017228,0.0017228
9,466.409,1.76335,1.69219,1.81323,0.6312,0.52891,0.55404,0.23602,2.06394,1.78232,2.25832,0.0016832,0.0016832,0.0016832
10,516.51,1.72577,1.66353,1.79762,0.63191,0.60205,0.60504,0.25374,1.97079,1.86814,2.16134,0.0016436,0.0016436,0.0016436
11,565.503,1.74942,1.57778,1.80302,0.71838,0.52083,0.57856,0.23231,2.12275,1.68371,2.31633,0.001604,0.001604,0.001604
12,614.532,1.73364,1.58769,1.78836,0.76435,0.58563,0.63194,0.25962,1.9658,1.60938,2.14659,0.0015644,0.0015644,0.0015644
13,664.016,1.70176,1.49745,1.7698,0.74974,0.58333,0.68354,0.28014,1.97016,1.45455,2.12951,0.0015248,0.0015248,0.0015248
14,714.577,1.71243,1.4443,1.77908,0.76319,0.56944,0.62813,0.26736,2.0563,1.54551,2.22157,0.0014852,0.0014852,0.0014852
15,765.107,1.69089,1.41474,1.74373,0.7099,0.58627,0.64569,0.26374,1.98871,1.52787,2.17862,0.0014456,0.0014456,0.0014456
16,814.289,1.69949,1.43038,1.75048,0.69526,0.61111,0.62651,0.28072,2.05395,1.6208,2.24189,0.001406,0.001406,0.001406
17,862.74,1.67145,1.40068,1.75422,0.82713,0.56597,0.66596,0.28671,2.03363,1.50189,2.19531,0.0013664,0.0013664,0.0013664
18,911.587,1.6667,1.38122,1.73628,0.79025,0.60177,0.71171,0.29423,1.99469,1.36417,2.13816,0.0013268,0.0013268,0.0013268
